variation_value,status,objective,pg_bus_3,pg_bus_1,pg_bus_2
0.05,feasible,5216.026607747273,1.3437758555114396,0.9405791651432273,0.8656449793453328
0.1,feasible,5216.026607747273,1.3437758555114396,0.9405791651432273,0.8656449793453328
0.15,feasible,5216.026607747273,1.3437758555114396,0.9405791651432273,0.8656449793453328
0.2,feasible,5216.026607747273,1.3437758555114396,0.9405791651432273,0.8656449793453328
0.25,feasible,5216.026607747273,1.3437758555114396,0.9405791651432273,0.8656449793453328
0.3,feasible,5216.026607747273,1.3437758555114396,0.9405791651432273,0.8656449793453328
0.35,feasible,5216.026607747273,1.3437758555114396,0.9405791651432273,0.8656449793453328
0.4,feasible,5216.026607747273,1.3437758555114396,0.9405791651432273,0.8656449793453328
0.45,feasible,5216.026607747273,1.3437758555114396,0.9405791651432273,0.8656449793453328
0.5,feasible,5216.026607747273,1.3437758555114396,0.9405791651432273,0.8656449793453328
0.55,feasible,5216.026607747273,1.3437758555114396,0.9405791651432273,0.8656449793453328
0.6,feasible,5216.026607747273,1.3437758555114396,0.9405791651432273,0.8656449793453328
0.65,feasible,5216.026607747273,1.3437758555114396,0.9405791651432273,0.8656449793453328
0.7,feasible,5216.026607747273,1.3437758555114396,0.9405791651432273,0.8656449793453328
0.75,feasible,5216.026607747273,1.3437758555114396,0.9405791651432273,0.8656449793453328
0.8,feasible,5216.026607747273,1.3437758555114396,0.9405791651432273,0.8656449793453328
0.85,feasible,5216.026607747273,1.3437758555114396,0.9405791651432273,0.8656449793453328
0.9,feasible,5216.026607747273,1.3437758555114396,0.9405791651432273,0.8656449793453328
0.95,feasible,5216.026607747273,1.3437758555114396,0.9405791651432273,0.8656449793453328
