confidence_level,status,objective,pg_bus_51
0.1,feasible,232.00000000000003,1.1600000000000001
0.2,feasible,232.00000000000003,1.1600000000000001
0.3,feasible,232.00000000000003,1.1600000000000001
0.4,feasible,232.00000000000003,1.1600000000000001
0.5,feasible,232.00000000000003,1.1600000000000001
0.6,feasible,232.00000000000003,1.1600000000000001
0.7,feasible,232.00000000000003,1.1600000000000001
0.8,feasible,232.00000000000003,1.1600000000000001
0.9,feasible,232.00000000000003,1.1600000000000001
0.95,feasible,232.00000000000003,1.1600000000000001
0.975,feasible,232.00000000000003,1.1600000000000001
0.99,feasible,232.00000000000003,1.1600000000000001
